コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
6277,ホソカワミクロン,プライム（内国株式）,機械,TOPIX Small 1,6130.0,231.7734,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.510086+09:00
6278,ユニオンツール,プライム（内国株式）,機械,TOPIX Small 1,14250.0,2739.42175,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.513122+09:00
6279,瑞光,プライム（内国株式）,機械,TOPIX Small 2,944.0,16.3825,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.516343+09:00
6282,オイレス工業,プライム（内国株式）,機械,TOPIX Small 1,2974.0,383.73892,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.519424+09:00
6284,日精エー・エス・ビー機械,プライム（内国株式）,機械,TOPIX Small 1,8550.0,245.04755,0,,2026-09-24,2026-09-24T20:37:32.523766+09:00
6287,サトー,プライム（内国株式）,機械,TOPIX Small 1,2708.0,280.29849,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.529876+09:00
6289,技研製作所,プライム（内国株式）,機械,TOPIX Small 2,1933.0,142.3692487976074,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.532945+09:00
6291,日本エアーテック,スタンダード（内国株式）,機械,TOPIX Small 2,1339.0,36.40552,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.535904+09:00
6294,オカダアイヨン,プライム（内国株式）,機械,-,1965.0,42.29574,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:32.542621+09:00
6298,ワイエイシイホールディングス,プライム（内国株式）,機械,TOPIX Small 2,1271.0,165.57481,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:32.545035+09:00
6301,小松製作所,プライム（内国株式）,機械,TOPIX Large70,7209.0,20785.097545,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:32.548367+09:00
6302,住友重機械工業,プライム（内国株式）,機械,TOPIX Mid400,5921.0,4525.915265,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:32.551415+09:00
6305,日立建機,プライム（内国株式）,機械,TOPIX Mid400,5645.0,8268.89336,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:32.554925+09:00
6306,日工,プライム（内国株式）,機械,TOPIX Small 2,1010.0,89.079125,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.559136+09:00
6309,巴工業,プライム（内国株式）,機械,TOPIX Small 2,1964.0,212.799885,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.565425+09:00
6310,井関農機,プライム（内国株式）,機械,TOPIX Small 2,1969.0,251.67211,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:32.568544+09:00
6315,ＴＯＷＡ,プライム（内国株式）,機械,TOPIX Small 1,2175.0,6635.28812,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:32.573549+09:00
6316,丸山製作所,スタンダード（内国株式）,機械,-,2994.0,29.87275,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.524486+09:00
6317,北川鉄工所,スタンダード（内国株式）,機械,TOPIX Small 2,2570.0,215.586395,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.527391+09:00
6323,ローツェ,プライム（内国株式）,機械,TOPIX Mid400,3706.0,4702.759,0,,2026-09-24,2026-09-24T20:37:34.531235+09:00
6324,ハーモニック・ドライブ・システムズ,プライム（内国株式）,機械,TOPIX Small 2,6350.0,5857.3649,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.534556+09:00
6326,クボタ,プライム（内国株式）,機械,TOPIX Large70,2750.5,13683.23079,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.540437+09:00
6327,北川精機,スタンダード（内国株式）,機械,-,3160.0,680.47984,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.542575+09:00
6328,荏原実業,プライム（内国株式）,機械,TOPIX Small 2,2391.0,148.759785,3,株価が25日線より上／25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.544677+09:00
6330,東洋エンジニアリング,プライム（内国株式）,建設業,TOPIX Small 2,2640.0,22529.028005,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.547448+09:00
6331,三菱化工機,プライム（内国株式）,機械,TOPIX Small 1,3350.0,393.4698,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.550270+09:00
6332,月島ホールディングス,プライム（内国株式）,機械,TOPIX Small 1,2700.0,355.938315,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:34.553972+09:00
6333,ＴＥＩＫＯＫＵ,プライム（内国株式）,機械,TOPIX Small 2,3570.0,117.3473,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.556441+09:00
6335,東京機械製作所,スタンダード（内国株式）,機械,-,584.0,14.19006,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:34.560228+09:00
6336,石井表記,スタンダード（内国株式）,機械,-,1483.0,234.55783,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:34.562077+09:00
6337,テセック,スタンダード（内国株式）,機械,-,3565.0,135.19905,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.563910+09:00
6338,タカトリ,スタンダード（内国株式）,機械,-,1668.0,17.5827,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.567799+09:00
6339,新東工業,プライム（内国株式）,機械,TOPIX Small 2,1215.0,195.958595,3,株価が25日線より上／25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.570370+09:00
6340,澁谷工業,プライム（内国株式）,機械,TOPIX Small 2,5490.0,361.4621,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.572374+09:00
6345,アイチ　コーポレーション,プライム（内国株式）,機械,TOPIX Small 2,1467.0,266.43708,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.577755+09:00
6349,小森コーポレーション,プライム（内国株式）,機械,TOPIX Small 1,1997.0,273.60317,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.585325+09:00
6351,鶴見製作所,プライム（内国株式）,機械,TOPIX Small 2,2636.0,158.437265,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.587622+09:00
6356,日本ギア工業,スタンダード（内国株式）,機械,-,1362.0,1279.073035,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.589635+09:00
6357,三精テクノロジーズ,スタンダード（内国株式）,機械,-,2772.0,124.13988,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.591629+09:00
6358,酒井重工業,プライム（内国株式）,機械,TOPIX Small 2,2173.0,43.01006,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.593539+09:00
6361,荏原製作所,プライム（内国株式）,機械,TOPIX Mid400,4510.0,13454.56962,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:34.597585+09:00
6363,酉島製作所,プライム（内国株式）,機械,TOPIX Small 1,2956.0,521.389175,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:34.601498+09:00
6364,ＡＩＲＭＡＮ,プライム（内国株式）,機械,TOPIX Small 2,2544.0,144.492975,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.605526+09:00
6366,千代田化工建設,スタンダード（内国株式）,建設業,-,681.0,1200.26579,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.610356+09:00
6367,ダイキン工業,プライム（内国株式）,機械,TOPIX Core30,20720.0,23586.7264,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:34.612374+09:00
6368,オルガノ,プライム（内国株式）,機械,TOPIX Mid400,12675.0,3203.84705,0,,2026-09-24,2026-09-24T20:37:34.614240+09:00
6369,トーヨーカネツ,プライム（内国株式）,機械,TOPIX Small 2,2425.0,192.509255,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:34.616712+09:00
6370,栗田工業,プライム（内国株式）,機械,TOPIX Mid400,7674.0,4498.23007,0,,2026-09-24,2026-09-24T20:37:34.620465+09:00
6371,椿本チエイン,プライム（内国株式）,機械,TOPIX Small 1,2693.0,458.470875,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.622611+09:00
6376,日機装,プライム（内国株式）,精密機器,TOPIX Small 1,3485.0,1844.149725,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:34.624554+09:00
6378,木村化工機,スタンダード（内国株式）,機械,TOPIX Small 2,1199.0,185.261145,0,,2026-09-24,2026-09-24T20:37:34.626474+09:00
6379,レイズネクスト,プライム（内国株式）,建設業,TOPIX Small 2,3100.0,612.04273,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.628343+09:00
6380,オリエンタルチエン工業,スタンダード（内国株式）,機械,-,3640.0,62.1478,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:34.630367+09:00
6381,アネスト岩田,プライム（内国株式）,機械,TOPIX Small 2,1920.0,142.421545,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:34.633191+09:00
6382,トリニティ工業,スタンダード（内国株式）,機械,-,1233.0,13.757305,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:34.636785+09:00
6383,ダイフク,プライム（内国株式）,機械,TOPIX Mid400,5521.0,9188.9853,0,,2026-09-24,2026-09-24T20:37:34.638898+09:00
6384,昭和真空,スタンダード（内国株式）,機械,-,1730.0,16.04635,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.640841+09:00
6387,サムコ,プライム（内国株式）,機械,TOPIX Small 2,7960.0,1114.2424,0,,2026-09-24,2026-09-24T20:37:34.642747+09:00
6390,加藤製作所,プライム（内国株式）,機械,-,1326.0,72.20394,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.644576+09:00
6395,タダノ,プライム（内国株式）,機械,TOPIX Small 1,1370.0,428.487575,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:34.653028+09:00
6405,鈴茂器工,スタンダード（内国株式）,機械,-,1240.0,33.14051,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:34.659857+09:00
6407,ＣＫＤ,プライム（内国株式）,機械,TOPIX Small 1,5200.0,2603.9497,0,,2026-09-24,2026-09-24T20:37:34.661783+09:00
6412,平和,プライム（内国株式）,機械,TOPIX Small 1,2197.0,614.822155,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.794667+09:00
6413,理想科学工業,プライム（内国株式）,機械,TOPIX Small 2,1058.0,110.21516,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.797474+09:00
6417,ＳＡＮＫＹＯ,プライム（内国株式）,機械,TOPIX Mid400,2120.0,2398.835075,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.799674+09:00
6418,日本金銭機械,プライム（内国株式）,機械,TOPIX Small 2,1268.0,154.547025,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.801836+09:00
6419,マースグループホールディングス,プライム（内国株式）,機械,TOPIX Small 1,3165.0,183.444025,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.804300+09:00
6420,ガリレイホールディングス,プライム（内国株式）,機械,TOPIX Small 1,3500.0,142.682325,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.807243+09:00
6425,ユニバーサルエンターテインメント,スタンダード（内国株式）,機械,-,725.0,126.908735,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.814125+09:00
6430,ダイコク電機,プライム（内国株式）,機械,TOPIX Small 2,2477.0,107.259975,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.820136+09:00
6432,竹内製作所,プライム（内国株式）,機械,TOPIX Small 1,7300.0,1495.1262881518555,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.823388+09:00
6433,ヒーハイスト,スタンダード（内国株式）,機械,-,1357.0,347.28197,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.826942+09:00
6436,アマノ,プライム（内国株式）,機械,TOPIX Mid400,3875.0,969.53586,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.830423+09:00
6440,ＪＵＫＩ,プライム（内国株式）,機械,TOPIX Small 2,789.0,296.414645,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.833763+09:00
6444,サンデン,スタンダード（内国株式）,機械,-,198.0,20.77826,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.836649+09:00
6445,ジャノメ,プライム（内国株式）,機械,TOPIX Small 2,1357.0,43.444305,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.838649+09:00
6448,ブラザー工業,プライム（内国株式）,電気機器,TOPIX Mid400,4668.0,5278.61605,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.840525+09:00
6454,マックス,プライム（内国株式）,機械,TOPIX Small 1,1877.0,525.74931,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.843050+09:00
6455,モリタホールディングス,プライム（内国株式）,輸送用機器,TOPIX Small 2,2515.0,177.309855,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.846579+09:00
6457,グローリー,プライム（内国株式）,機械,TOPIX Mid400,4511.0,921.800365,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.848947+09:00
6458,新晃工業,プライム（内国株式）,機械,TOPIX Small 1,1241.0,354.087025,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:36.851099+09:00
6459,だいわ,プライム（内国株式）,機械,TOPIX Small 2,1688.0,209.440785,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:36.853678+09:00
6460,セガサミーホールディングス,プライム（内国株式）,機械,TOPIX Mid400,3260.0,3587.54701,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.855553+09:00
6463,ＴＰＲ,プライム（内国株式）,機械,TOPIX Small 1,1572.0,221.270225,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.857433+09:00
6464,ツバキ・ナカシマ,プライム（内国株式）,機械,TOPIX Small 2,342.0,119.310935,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:36.859803+09:00
6465,ホシザキ,プライム（内国株式）,機械,TOPIX Mid400,5350.0,1758.332915,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.863098+09:00
6466,ＴＶＥ,スタンダード（内国株式）,機械,-,4095.0,90.854325,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.865142+09:00
6469,放電精密加工研究所,スタンダード（内国株式）,機械,-,2886.0,151.287175,2,株価が25日線より上／25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.869659+09:00
6470,大豊工業,スタンダード（内国株式）,機械,TOPIX Small 2,1141.0,100.9141,2,株価が25日線より上／25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.871554+09:00
6471,日本精工,プライム（内国株式）,機械,TOPIX Mid400,1098.5,2589.2303075,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:36.873475+09:00
6472,ＮＴＮ,プライム（内国株式）,機械,TOPIX Mid400,387.0,1117.9279121977233,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:36.875339+09:00
6473,ジェイテクト,プライム（内国株式）,機械,TOPIX Mid400,2095.5,2688.613635,2,株価が25日線より上／25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.880142+09:00
6474,不二越,プライム（内国株式）,機械,TOPIX Small 1,5460.0,332.7753,0,,2026-09-24,2026-09-24T20:37:36.882321+09:00
6479,ミネベアミツミ,プライム（内国株式）,電気機器,TOPIX Mid400,3606.0,8570.59091,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:36.884937+09:00
6480,日本トムソン,プライム（内国株式）,機械,TOPIX Small 2,1834.0,1210.774905,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.886920+09:00
6481,ＴＨＫ,プライム（内国株式）,機械,TOPIX Mid400,6235.0,6374.746885,0,,2026-09-24,2026-09-24T20:37:36.888876+09:00
6482,ＹＵＳＨＩＮ,スタンダード（内国株式）,機械,TOPIX Small 2,724.0,67.61415,2,株価が25日線より上／25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.891246+09:00
6485,前澤給装工業,スタンダード（内国株式）,機械,TOPIX Small 2,1648.0,45.158085,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.897962+09:00
6486,イーグル工業,プライム（内国株式）,機械,TOPIX Small 1,3015.0,358.435985,3,株価が25日線より上／25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.901923+09:00
6490,ＰＩＬＬＡＲ,プライム（内国株式）,機械,TOPIX Small 1,10010.0,947.9613,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.907365+09:00
6492,岡野バルブ製造,スタンダード（内国株式）,機械,-,15100.0,274.6411,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.912290+09:00
6493,ＮＩＴＴＡＮ,スタンダード（内国株式）,輸送用機器,-,485.0,31.08577,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.915591+09:00
6494,ＮＦＫホールディングス,スタンダード（内国株式）,機械,-,100.0,16.68968,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.918493+09:00
6495,宮入バルブ製作所,スタンダード（内国株式）,機械,-,111.0,35.9801,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:36.921558+09:00
6496,中北製作所,スタンダード（内国株式）,機械,-,5730.0,20.4492,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.925320+09:00
6497,ハマイ,スタンダード（内国株式）,機械,-,1422.0,12.66272,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.929731+09:00
6498,キッツ,プライム（内国株式）,機械,TOPIX Small 1,1993.0,918.844475,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.932602+09:00
6501,日立製作所,プライム（内国株式）,電気機器,TOPIX Core30,5497.0,51290.888675,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:36.935544+09:00
6503,三菱電機,プライム（内国株式）,電気機器,TOPIX Core30,5274.0,29873.52184,0,,2026-09-24,2026-09-24T20:37:36.938393+09:00
6504,富士電機,プライム（内国株式）,電気機器,TOPIX Mid400,13370.0,8274.905775,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:36.941237+09:00
6505,東洋電機製造,スタンダード（内国株式）,電気機器,-,2451.0,82.81982,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.945588+09:00
6506,安川電機,プライム（内国株式）,電気機器,TOPIX Mid400,4507.0,15857.479987094726,0,,2026-09-24,2026-09-24T20:37:36.948944+09:00
6507,シンフォニアテクノロジー,プライム（内国株式）,電気機器,TOPIX Small 1,12710.0,2027.0565,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:36.951903+09:00
6508,明電舎,プライム（内国株式）,電気機器,TOPIX Small 1,11060.0,2850.64875,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:36.954762+09:00
6513,オリジン,スタンダード（内国株式）,電気機器,-,1309.0,32.09365,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:36.957467+09:00
6516,山洋電気,プライム（内国株式）,電気機器,TOPIX Small 1,5420.0,494.7708,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:36.961498+09:00
6517,デンヨー,プライム（内国株式）,電気機器,TOPIX Small 2,4060.0,184.3998,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.202466+09:00
6518,三相電機,スタンダード（内国株式）,電気機器,-,1732.0,19.382665,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.206477+09:00
6521,オキサイド,グロース（内国株式）,電気機器,-,3280.0,441.574685,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:39.208794+09:00
6522,アスタリスク,グロース（内国株式）,電気機器,-,1409.0,3862.86369,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:39.210830+09:00
6523,ＰＨＣホールディングス,プライム（内国株式）,電気機器,TOPIX Small 1,1395.0,1089.94279,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.212847+09:00
6524,湖北工業,スタンダード（内国株式）,電気機器,-,5310.0,1351.0699,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.215064+09:00
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,電気機器,TOPIX Mid400,9089.0,70626.60064,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.217567+09:00
6526,ソシオネクスト,プライム（内国株式）,電気機器,TOPIX Mid400,2300.0,12436.37325,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.221186+09:00
6532,ベイカレント,プライム（内国株式）,サービス業,TOPIX Mid400,7671.0,8191.878621621094,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.224193+09:00
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,サービス業,TOPIX Small 2,1213.0,28.90258,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.226389+09:00
6535,アイモバイル,プライム（内国株式）,サービス業,TOPIX Small 2,496.0,179.51011,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.228336+09:00
6538,ディスラプターズ,スタンダード（内国株式）,サービス業,-,251.0,12.144495,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.232215+09:00
6539,ＭＳ－Ｊａｐａｎ,プライム（内国株式）,サービス業,TOPIX Small 2,996.0,36.568885,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.234566+09:00
6540,船場,スタンダード（内国株式）,サービス業,-,1518.0,20.43135,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:39.236976+09:00
6544,ジャパンエレベーターサービスホールディングス,プライム（内国株式）,サービス業,TOPIX Mid400,1534.5,994.3352275,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.242609+09:00
6547,グリーンズ,スタンダード（内国株式）,サービス業,-,2131.0,96.39125,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.249172+09:00
6548,旅工房,グロース（内国株式）,サービス業,-,123.0,17.734625,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.252149+09:00
6551,ツナググループ・ホールディングス,スタンダード（内国株式）,サービス業,-,610.0,10.03783,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.258571+09:00
6554,エスユーエス,グロース（内国株式）,サービス業,-,1153.0,11.511445,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.262597+09:00
6557,ＡＩＡＩグループ,グロース（内国株式）,サービス業,-,712.0,13.512265,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:39.266891+09:00
6560,エル・ティー・エス,プライム（内国株式）,サービス業,TOPIX Small 2,1806.0,46.1916,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.272309+09:00
6562,ジーニー,グロース（内国株式）,サービス業,-,1018.0,45.581685,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.278238+09:00
6563,みらいワークス,グロース（内国株式）,サービス業,-,463.0,11.56793,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:39.280681+09:00
6564,ミダックホールディングス,プライム（内国株式）,サービス業,TOPIX Small 2,2037.0,120.728575,1,株価が25日線より上,2026-09-24,2026-09-24T20:37:39.282853+09:00
6570,共和コーポレーション,スタンダード（内国株式）,サービス業,-,3805.0,346.817325,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.293353+09:00
6571,キュービーネットホールディングス,プライム（内国株式）,サービス業,TOPIX Small 2,1275.0,57.730355,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.295787+09:00
6572,オープングループ,プライム（内国株式）,サービス業,TOPIX Small 2,270.0,59.39486,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.297882+09:00
6573,ＣＲＡＶＩＡ,グロース（内国株式）,サービス業,-,27.0,16.605705,1,25日線が75日線より上,2026-09-24,2026-09-24T20:37:39.299872+09:00
6574,コンヴァノ,グロース（内国株式）,サービス業,-,124.0,101.645345,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:37:39.301873+09:00
6577,ベストワンドットコム,グロース（内国株式）,サービス業,-,1361.0,21.50925,0,,2026-09-24,2026-09-24T20:37:39.306748+09:00
6580,ライトアップ,グロース（内国株式）,サービス業,-,876.0,25.657525,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.315322+09:00
6584,三櫻工業,プライム（内国株式）,輸送用機器,TOPIX Small 2,794.0,275.88421,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.318050+09:00
6586,マキタ,プライム（内国株式）,機械,TOPIX Mid400,5344.0,3786.99325,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:37:39.322119+09:00
6588,東芝テック,プライム（内国株式）,電気機器,TOPIX Small 1,2909.0,405.03538,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:39.325139+09:00
6590,芝浦メカトロニクス,プライム（内国株式）,電気機器,TOPIX Small 1,3825.0,4915.1597,1,前日より出来高増加,2026-09-24,2026-09-24T20:37:39.328141+09:00
