コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
1720,東急建設,プライム（内国株式）,建設業,TOPIX Small 1,1221.0,338.980855,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:17.503796+09:00
1721,コムシスホールディングス,プライム（内国株式）,建設業,TOPIX Mid400,5593.0,2779.90179,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:17.505728+09:00
1723,日本電技,スタンダード（内国株式）,建設業,-,2560.0,519.20124,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.507749+09:00
1762,高松コンストラクショングループ,プライム（内国株式）,建設業,TOPIX Small 2,4235.0,173.4442,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.520582+09:00
1766,東建コーポレーション,プライム（内国株式）,建設業,TOPIX Small 1,13160.0,257.799,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.525036+09:00
1770,藤田エンジニアリング,スタンダード（内国株式）,建設業,-,2330.0,12.173925,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.532315+09:00
1780,ヤマウラ,プライム（内国株式）,建設業,TOPIX Small 2,1481.0,39.649655,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.536259+09:00
1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,不動産業,-,68.0,250.71796,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:17.538380+09:00
1786,オリエンタル白石,プライム（内国株式）,建設業,TOPIX Small 2,353.0,161.871675,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.540247+09:00
1799,第一建設工業,スタンダード（内国株式）,建設業,-,3385.0,54.296525,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.555389+09:00
1801,大成建設,プライム（内国株式）,建設業,TOPIX Mid400,12655.0,9778.07135,0,,2026-09-24,2026-09-24T20:36:17.557386+09:00
1802,大林組,プライム（内国株式）,建設業,TOPIX Mid400,3062.0,7696.0079725,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:17.559455+09:00
1803,清水建設,プライム（内国株式）,建設業,TOPIX Mid400,2350.5,7807.503435,0,,2026-09-24,2026-09-24T20:36:17.566042+09:00
1808,長谷工コーポレーション,プライム（内国株式）,建設業,TOPIX Mid400,2723.5,2459.91324,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:17.570400+09:00
1810,松井建設,スタンダード（内国株式）,建設業,TOPIX Small 2,1459.0,47.709815,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:17.572276+09:00
1811,錢高組,スタンダード（内国株式）,建設業,-,7520.0,13.1972,0,,2026-09-24,2026-09-24T20:36:17.574172+09:00
1812,鹿島建設,プライム（内国株式）,建設業,TOPIX Mid400,4982.0,10024.35023,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:17.578776+09:00
1813,不動テトラ,プライム（内国株式）,建設業,TOPIX Small 2,3025.0,187.604425,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:17.582682+09:00
1814,大末建設,プライム（内国株式）,建設業,-,3650.0,218.606675,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.585021+09:00
1815,鉄建建設,プライム（内国株式）,建設業,TOPIX Small 2,4540.0,345.249675,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.587034+09:00
1820,西松建設,プライム（内国株式）,建設業,TOPIX Mid400,5692.0,689.17007,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.588941+09:00
1822,大豊建設,スタンダード（内国株式）,建設業,TOPIX Small 2,835.0,171.83349,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.590806+09:00
1826,佐田建設,スタンダード（内国株式）,建設業,-,1085.0,10.105215,2,株価が25日線より上／25日線が75日線より上,2026-09-24,2026-09-24T20:36:17.593444+09:00
1827,ナカノフドー建設,スタンダード（内国株式）,建設業,-,1428.0,18.69564,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.597721+09:00
1828,田辺工業,スタンダード（内国株式）,建設業,-,2425.0,28.30354,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.599970+09:00
1833,奥村組,プライム（内国株式）,建設業,TOPIX Small 1,5750.0,809.52365,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:17.602427+09:00
1835,東鉄工業,プライム（内国株式）,建設業,TOPIX Small 1,3910.0,268.177125,0,,2026-09-24,2026-09-24T20:36:17.604421+09:00
1844,大盛工業,スタンダード（内国株式）,建設業,-,448.0,78.3114,0,,2026-09-24,2026-09-24T20:36:17.608387+09:00
1847,イチケン,スタンダード（内国株式）,建設業,-,3465.0,81.860225,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.613453+09:00
1848,富士ピー・エス,スタンダード（内国株式）,建設業,-,861.0,19.0348,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.615854+09:00
1850,南海辰村建設,スタンダード（内国株式）,建設業,-,438.0,10.1992,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.619825+09:00
1852,淺沼組,プライム（内国株式）,建設業,TOPIX Small 1,898.0,353.124525,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.621695+09:00
1860,戸田建設,プライム（内国株式）,建設業,TOPIX Mid400,1508.5,1172.9102675,0,,2026-09-24,2026-09-24T20:36:17.625385+09:00
1861,熊谷組,プライム（内国株式）,建設業,TOPIX Small 1,1319.0,1117.84909,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:17.629962+09:00
1866,北野建設,スタンダード（内国株式）,建設業,-,1116.0,14.008645,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.632547+09:00
1867,植木組,スタンダード（内国株式）,建設業,-,2704.0,15.396995,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.634670+09:00
186A,アストロスケールホールディングス,グロース（内国株式）,サービス業,-,1190.0,4129.069645,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.636643+09:00
1870,矢作建設工業,プライム（内国株式）,建設業,TOPIX Small 1,2174.0,282.938735,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.060034+09:00
1871,ピーエス・コンストラクション,プライム（内国株式）,建設業,TOPIX Small 2,2215.0,211.139085,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.063758+09:00
1873,日本ハウスホールディングス,プライム（内国株式）,建設業,TOPIX Small 2,314.0,30.69714,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.066560+09:00
1878,大東建託,プライム（内国株式）,不動産業,TOPIX Mid400,3295.0,4781.917715,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.069087+09:00
1879,新日本建設,プライム（内国株式）,建設業,TOPIX Small 2,2299.0,492.993955,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.072693+09:00
1882,東亜道路工業,プライム（内国株式）,建設業,TOPIX Small 1,1616.0,582.048755,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.075284+09:00
1885,東亜建設工業,プライム（内国株式）,建設業,TOPIX Small 1,2160.0,933.235405,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.078331+09:00
1887,日本国土開発,プライム（内国株式）,建設業,TOPIX Small 2,548.0,123.328215,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.081456+09:00
1888,若築建設,プライム（内国株式）,建設業,TOPIX Small 2,3720.0,55.32195,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.085345+09:00
1893,五洋建設,プライム（内国株式）,建設業,TOPIX Mid400,1558.0,3141.498155,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.090798+09:00
1898,世紀東急工業,プライム（内国株式）,建設業,TOPIX Small 1,1483.0,219.814545,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.096322+09:00
1899,福田組,プライム（内国株式）,建設業,TOPIX Small 2,4765.0,289.9745,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.098507+09:00
1904,大成温調,スタンダード（内国株式）,建設業,-,5130.0,51.39415,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.102267+09:00
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）,医薬品,-,70.0,28.473675,0,,2026-09-24,2026-09-24T20:36:20.108592+09:00
1911,住友林業,プライム（内国株式）,建設業,TOPIX Mid400,1215.0,5400.582755,0,,2026-09-24,2026-09-24T20:36:20.110475+09:00
1914,日本基礎技術,スタンダード（内国株式）,建設業,-,821.0,23.928515,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.112313+09:00
1921,巴コーポレーション,スタンダード（内国株式）,建設業,-,2036.0,25.621115,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.114144+09:00
1925,大和ハウス工業,プライム（内国株式）,建設業,TOPIX Large70,4532.0,8685.316,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:20.116117+09:00
1926,ライト工業,プライム（内国株式）,建設業,TOPIX Small 1,3895.0,483.2621,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.117962+09:00
